;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
6104;BG32010;42.7055;23.6322;STOLNIK;BG32010;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6111;BG32013;42.7156;23.7567;SARANTSI;BG32013;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6118;BG32015;42.6898;23.8035;MAKOTSEVO;BG32015;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6122;BG32016;42.7133;23.862;DOLNO KAMARTSI;BG32016;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5985;BG32018;42.7036;23.9968;MIRKOVO;BG32018;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6073;BG32019;42.6982;24.0765;CHELOPECH;BG32019;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5999;BG32020;42.7161;24.1266;ZLATITSA;BG32020;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6012;BG32021;42.7101;24.1738;PIRDOP;BG32021;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5983;BG32022;42.729;24.2472;ANTON;BG32022;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6021;BG32023;42.7001;24.3392;KOPRIVSHTITSA;BG32023;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6027;BG32024;42.6955;24.4213;STRYAMA;BG32024;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6031;BG32025;42.6906;24.4624;KLISURA;BG32025;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6041;BG32030;42.7128;24.6075;HRISTO DANOVO;BG32030;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6045;BG32034;42.6417;24.7424;SOPOT;BG32034;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6057;BG32040;42.6318;24.805;KARLOVO;BG32040;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8136;BG32041;42.6015;24.8935;BOTEV;BG32041;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8147;BG32043;42.5964;25.0042;KALOFER;BG32043;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8153;BG32046;42.6392;25.0903;TAZHA;BG32046;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8150;BG32052;42.6458;25.2231;SAHRANE;BG32052;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8157;BG32054;42.6592;25.3025;DUNAVTCI;BG32054;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8162;BG32056;42.614;25.393;KAZANLAK;BG32056;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5714;BG32057;42.5885;25.4748;CHERGANOVO;BG32057;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7616;BG34000;42.5721;25.5545;TULOVO;BG34000;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7173;BG34001;42.614;25.6376;DABOVO;BG34001;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
5759;BG34004;42.6539;25.8143;GURKOVO;BG34004;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5767;BG34006;42.6953;25.8985;TVARDICA;BG34006;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8067;BG34008;42.6801;26.0269;SHIVACHEVO;BG34008;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8070;BG34010;42.6778;26.0726;CHUMERNA;BG34010;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8071;BG34012;42.6403;26.1715;GAVRAILOVO;BG34012;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8077;BG34019;42.6666;26.336;SLIVEN;BG34019;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8080;BG34023;42.6059;26.4862;ZHELYU VOYVODA;BG34023;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7408;BG38000;42.5855;26.5981;ZIMNICA;BG38000;Bulgaria;2017-04-20 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7329;BG38001;42.5924;26.6886;STRALDZHA;BG38001;Bulgaria;2017-04-20 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7333;BG38004;42.6208;26.8413;CERKOVSKI;BG38004;Bulgaria;2017-04-20 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6281;BG38009;42.6679;26.9774;KARNOBAT;BG38009;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6352;BG38013;42.769;26.8875;LOZAREVO;BG38013;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6357;BG38015;42.8021;26.8757;PODVIS;BG38015;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6362;BG38017;42.8325;26.9727;RP VEDROVO;BG38017;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6366;BG38020;42.8416;27.039;ZAVET;BG38020;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7789;BG38022;42.8457;27.1005;RP LYULYAKOVO;BG38022;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6383;BG38024;42.8858;27.1942;DASKOTNA;BG38024;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6379;BG38026;42.9367;27.2176;TARNAK;BG38026;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6375;BG38027;42.9565;27.27;RP STRUYA;BG38027;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6371;BG38028;42.9875;27.317;ASPARUHOVO;BG38028;Bulgaria;2016-12-13 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7106;BG38030;43.0067;27.2905;KOMUNARI;BG38030;Bulgaria;2016-12-07 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7094;BG38032;43.0481;27.3411;DALGOPOL;BG38032;Bulgaria;2016-12-07 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7103;BG38033;43.0469;27.4404;VELICHKOVO;BG38033;Bulgaria;2016-12-07 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7958;BG38040;43.0891;27.6134;YUNAK;BG38040;Bulgaria;2016-12-08 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
